Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
15.16,2,0.6363841996786228260621391256,0.640847727437212,0.640847727437212,0.637160244845063,0.637160244845063,0.0944740120416602,0.1167817241766269739642653195,0.1046082404613489739642653195,0.012173483715278,3.6604742593486763702658397483,12.846426129994105592212002682,13.083507646224527077375371963,270881800
15.17,2,0.6363708599593360349554928507,0.640833512159073,0.640833512159073,0.63714688885852,0.63714688885852,0.0944496382795079,0.1167568691562595206678768506,0.1045792875300292206678768506,0.0121775816262303,3.6594895253938193527977274915,12.84340994496491303555301014,13.080609254386475658868632361,271060400
15.18,2,0.6363574382714268721881147466,0.64081921608522,0.64081921608522,0.637133450803398,0.637133450803398,0.0944253023999126,0.1167320491756421992339271939,0.1045503647322196992339271939,0.0121816844434225,3.658505971872663781339170455,12.840395759078984838997162515,13.077712360439799388777251339,271239100
15.19,2,0.6363440350370701977842746677,0.640804939953814,0.640804939953814,0.637120031224331,0.637120031224331,0.0944010081898012,0.1167072715351063388794483041,0.1045214793682520388794483041,0.0121857921668543,3.6575238074018204040027484925,12.837383836213891359075048223,13.07481719202834560188484104,271417800
15.20,2,0.6363307493329358788167483476,0.640790783401914,0.640790783401914,0.63710672931881,0.63710672931881,0.0943767665052775,0.1166825505614255291126264687,0.1044926457648994291126264687,0.0121899047965261,3.6565434418906303308795300548,12.834376980611501679022939158,13.071926286060043078568807671,271596500
15.21,2,0.6363173817773202124815022740,0.640776546183464,0.640776546183464,0.637093345461993,0.637093345461993,0.0943525630414764,0.1166578649699621901221652734,0.1044638426375245901221652734,0.0121940223324376,3.6555642650566706072691881556,12.831372095877601338827230676,13.069036851766972192189511786,271775200
15.22,2,0.6363041327140541710098610566,0.640762429006354,0.640762429006354,0.637080080242022,0.637080080242022,0.0943283977263364,0.1166332216933032425286607308,0.1044350769187142425286607308,0.012198144774589,3.6545864749814392460756980861,12.828370599480795988096183462,13.066150172178234648871618606,271953900
15.23,2,0.6362908004188129829057098085,0.640748229770313,0.640748229770313,0.637066731688579,0.637066731688579,0.0943042703638787,0.1166086134823915482872152797,0.1044063413594114482872152797,0.0122022721229801,3.653609863472271592598732859,12.825367045567596128300466395,13.063261281713735855366705688,272132500
15.24,2,0.6362775877503436942534656692,0.640734151735359,0.640734151735359,0.637053502907787,0.637053502907787,0.0942801818158168,0.1165840482920878144680594855,0.1043776439144768144680594855,0.012206404377611,3.6526346578966566921379654864,12.822369797910009037959810006,13.060377812541583483426953417,272311200
15.25,2,0.6362643922514813490011543689,0.640720092588965,0.640720092588965,0.63704029131754,0.63704029131754,0.0942561415924774,0.1165595320562697266335154700,0.1043489905177879266335154700,0.0122105415384818,3.6516610277251905195758598619,12.819376295128869971696393815,13.057497412006500208585784016,272489900
15.26,2,0.6362511134665208048267034135,0.640705951695857,0.640705951695857,0.63702699633963,0.63702699633963,0.0942321498153177,0.1165350613842000301273430538,0.1043203777786076301273430538,0.0122146836055924,3.6506888752979210582336003964,12.816386660374032430185579451,13.054620199273809895818889551,272668600
15.27,2,0.6362379540801941579793403112,0.640691931531004,0.640691931531004,0.637013820905956,0.637013820905956,0.0942081898573712,0.1165106267253154342514106155,0.1042917961463727342514106155,0.0122188305789427,3.6497179264888891182022555419,12.813398416967823436732611879,13.051743927450953106212453399,272847300
15.28,2,0.6362248113587071054709207710,0.640677929385926,0.640677929385926,0.637000662157444,0.637000662157444,0.0941842678264942,0.1164862305992773675790551896,0.1042632481407444675790551896,0.0122229824585329,3.6487482529585925771771960312,12.810413193084492372650288602,13.048870080818066449794507091,273025900
15.29,2,0.6362116867473896481506135776,0.640663946708562,0.640663946708562,0.636987521541186,0.636987521541186,0.0941603837216996,0.1164618730556314597281420423,0.1042347338112685597281420423,0.0122271392443629,3.6477798556039342452494903183,12.807430438579876467348585583,13.045998156237565705557216482,273204600
15.30,2,0.6361984806511993501046204800,0.64064988447169,0.64064988447169,0.636974299340688,0.636974299340688,0.0941365590216936,0.1164375721039996369418178825,0.1042062711675669369418178825,0.0122313009364327,3.6468132498400955353231136923,12.804451704035381866327148279,13.043129538287975926374276042,273383300
15.31,2,0.6361853908213329781266652211,0.640635939929528,0.640635939929528,0.636961193548296,0.636961193548296,0.0941127691332922,0.1164133100502522941224172543,0.1041778425155100941224172543,0.0122354675347422,3.6458479282451200955106460083,12.801475974533455152563476635,13.040263332000610620514313282,273562000
15.32,2,0.6361723204837458611177134264,0.640622016235452,0.640622016235452,0.636948107271953,0.636948107271953,0.0940890170488036,0.1163890865049762842479727939,0.1041494474656845842479727939,0.0122396390392917,3.6448838791406566359031557176,12.798502728702084919882281871,13.037399061290529347599843564,273740600
15.33,2,0.6361592661705595204398183096,0.640608109944892,0.640608109944892,0.636935037039552,0.636935037039552,0.0940653036173632,0.1163649021965760838150296574,0.1041210867464952838150296574,0.0122438154500808,3.6439211228714885341960135515,12.795531920317744084836491682,13.034536682551259148956687678,273919300
15.34,2,0.6361462298072711965950013925,0.640594222959917,0.640594222959917,0.636921984778938,0.636921984778938,0.0940416280671906,0.1163407564201226255430903766,0.1040927596530128255430903766,0.0122479967671098,3.6429596387203949032931948035,12.792563608135247032190246147,13.031676250900825584125552291,274098000
15.35,2,0.6361331105234055141374198722,0.640580254847805,0.640580254847805,0.636908849496629,0.636908849496629,0.0940180082192084,0.1163166634806309622923294358,0.1040644804902522622923294358,0.0122521829903787,3.6419998359733921532857679257,12.789599490737159848563503787,13.028819293578889809880826805,274276700
15.36,2,0.6361202096602695565147648483,0.640566506645314,0.640566506645314,0.636895932901404,0.636895932901404,0.0939944195629276,0.1162926093885748519746952066,0.1040362352686875519746952066,0.0122563741198873,3.6410413133375969646820104908,12.786634349884489719257331009,13.025961062514455032690948365,274455400
15.37,2,0.6361072251282023237012678591,0.64055267559227,0.64055267559227,0.636882932535218,0.636882932535218,0.093970858725892,0.1162685802073744233258577840,0.1040080100517387233258577840,0.0122605701556357,3.6400836710369263799686886694,12.783674014753893532530618782,13.023106917443398795356550248,274634100
