0.9199994, -1, 0, 5, 0, 0.0380554096282028580402, 1932.636, -511.6669, -5.557111, 0.000483026, 0.02479935, 56.2808, 0.3020116, 0.2679502, 0.0001962442
 
0.9299994, 1, -0.01, 5, 0, 0.0380136363378558565899408838, 1891.94, -511.6669, -5.557111, 0.000483026, 0.02479935, 55.68638, 0.3020116, 0.2679502, 0.0001962442
 
0.9399994, -1, 0, 5, 0, 0.0380211604497300454524, 1852.383, -511.6669, -5.557111, 0.000483026, 0.02479935, 55.10242, 0.3020116, 0.2679502, 0.0001962442
 
0.9499994, 1, -0.01, 5, 0, 0.03807200608266349008, 1813.922, -511.6669, -5.557111, 0.000483026, 0.02479935, 54.52861, 0.3020116, 0.2679502, 0.0001962442
 
0.9599994, -1, 0, 5, 0, 0.0381612970333839733869408838, 1776.517, -511.6669, -5.557111, 0.000483026, 0.02479935, 53.96467, 0.3020116, 0.2679502, 0.0001962442
 
0.9699994, 1, -0.01, 5, 0, 0.0382845622431050931315408838, 1740.13, -511.6669, -5.557111, 0.000483026, 0.02479935, 53.41034, 0.3020116, 0.2679502, 0.0001962442
 
0.9799994, -1, 0, 5, 0, 0.0384380685947817951710591162, 1704.725, -511.6669, -5.557111, 0.000483026, 0.02479935, 52.86536, 0.3020116, 0.2679502, 0.0001962442
 
0.9899994, 1, -0.01, 5, 0, 0.0386183578908406227350591162, 1670.266, -511.6669, -5.557111, 0.000483026, 0.02479935, 52.32947, 0.3020116, 0.2679502, 0.0001962442
 
0.9999993, -1, 0, 5, 0, 0.038822680936558512072, 1636.721, -511.6669, -5.557111, 0.000483026, 0.02479935, 51.80244, 0.3020116, 0.2679502, 0.0001962442
 
1.009999, 1, -0.01, 5, 0, 0.0390483319455501343005408838, 1604.057, -511.6669, -5.557111, 0.000483026, 0.02479935, 51.28402, 0.3020116, 0.2679502, 0.0001962442
 
1.019999, -1, 0, 5, 0, 0.0392932851953880068391408838, 1572.242, -511.6669, -5.557111, 0.000483026, 0.02479935, 50.77397, 0.3020116, 0.2679502, 0.0001962442
 
1.029999, 1, -0.01, 5, 0, 0.0395556162497660284700591162, 1541.25, -511.6669, -5.557111, 0.000483026, 0.02479935, 50.27209, 0.3020116, 0.2679502, 0.0001962442
 
1.039999, -1, 0, 5, 0, 0.0398335598362821129717408838, 1511.05, -511.6669, -5.557111, 0.000483026, 0.02479935, 49.77816, 0.3020116, 0.2679502, 0.0001962442
 
1.049999, 1, -0.01, 5, 0, 0.0401256690103462555598591162, 1481.619, -511.6669, -5.557111, 0.000483026, 0.02479935, 49.29202, 0.3020116, 0.2679502, 0.0001962442
 
1.059999, -1, 0, 5, 0, 0.0404305402357040159034, 1452.928, -511.6669, -5.557111, 0.000483026, 0.02479935, 48.81342, 0.3020116, 0.2679502, 0.0001962442
 
1.069999, 1, -0.01, 5, 0, 0.0407470738344665447073408838, 1424.953, -511.6669, -5.557111, 0.000483026, 0.02479935, 48.34217, 0.3020116, 0.2679502, 0.0001962442
 
1.079999, -1, 0, 5, 0, 0.0410743003537581972872591162, 1397.671, -511.6669, -5.557111, 0.000483026, 0.02479935, 47.87812, 0.3020116, 0.2679502, 0.0001962442
 
1.089999, 1, -0.01, 5, 0, 0.0414112358712559703907408838, 1371.06, -511.6669, -5.557111, 0.000483026, 0.02479935, 47.42108, 0.3020116, 0.2679502, 0.0001962442
 
1.099999, -1, 0, 5, 0, 0.0417573160785703235664, 1345.098, -511.6669, -5.557111, 0.000483026, 0.02479935, 46.97086, 0.3020116, 0.2679502, 0.0001962442
 
1.109999, 1, -0.01, 5, 0, 0.0421116728089461253268591162, 1319.761, -511.6669, -5.557111, 0.000483026, 0.02479935, 46.52729, 0.3020116, 0.2679502, 0.0001962442
 
